# Altitude(AMSL),Pressure(hpa),Temp(C),RH,WindSpeed(m/s),WindDirection(degTN),Uwind(m/s),Vwind(m/s)
10858.39,244.85,-50.28,66.03,31.59,261.99,-31.28,-4.40
10862.54,244.69,-50.33,66.01,31.54,261.96,-31.23,-4.41
10867.13,244.52,-50.38,65.96,31.48,261.92,-31.17,-4.42
10872.43,244.32,-50.43,65.90,31.42,261.88,-31.10,-4.44
10878.73,244.09,-50.48,65.84,31.35,261.84,-31.04,-4.45
10884.92,243.86,-50.53,65.79,31.28,261.80,-30.96,-4.46
10890.65,243.64,-50.59,65.74,31.21,261.75,-30.89,-4.48
10896.59,243.42,-50.64,65.70,31.13,261.70,-30.81,-4.49
10902.76,243.19,-50.70,65.67,31.05,261.64,-30.72,-4.51
10909.50,242.94,-50.75,65.65,30.97,261.59,-30.63,-4.53
10916.35,242.69,-50.82,65.65,30.88,261.52,-30.54,-4.55
10923.45,242.42,-50.88,65.65,30.79,261.45,-30.45,-4.58
10931.02,242.14,-50.94,65.66,30.70,261.38,-30.35,-4.60
10939.10,241.84,-51.00,65.67,30.61,261.30,-30.25,-4.63
10947.22,241.55,-51.05,65.67,30.51,261.22,-30.15,-4.66
10954.51,241.29,-51.11,65.66,30.41,261.13,-30.05,-4.69
10959.89,241.09,-51.16,65.63,30.31,261.04,-29.94,-4.72
10963.56,240.94,-51.22,65.58,30.21,260.94,-29.83,-4.76
10966.96,240.80,-51.28,65.50,30.11,260.84,-29.72,-4.79
10971.64,240.62,-51.34,65.39,30.00,260.74,-29.61,-4.83
10977.97,240.40,-51.38,65.27,29.89,260.63,-29.49,-4.87
10985.06,240.15,-51.40,65.14,29.78,260.52,-29.38,-4.91
10991.07,239.94,-51.42,65.01,29.67,260.41,-29.26,-4.95
10995.70,239.75,-51.44,64.87,29.56,260.29,-29.14,-4.99
11000.59,239.56,-51.48,64.74,29.45,260.18,-29.02,-5.02
11006.73,239.33,-51.52,64.61,29.33,260.06,-28.89,-5.06
11013.88,239.07,-51.57,64.49,29.22,259.95,-28.77,-5.10
11021.68,238.79,-51.61,64.39,29.10,259.85,-28.64,-5.13
11029.76,238.51,-51.67,64.30,28.98,259.74,-28.51,-5.16
11036.81,238.25,-51.72,64.24,28.86,259.64,-28.39,-5.19
11043.11,238.01,-51.78,64.21,28.73,259.55,-28.26,-5.21
11048.99,237.79,-51.82,64.21,28.61,259.47,-28.13,-5.23
11054.82,237.58,-51.87,64.25,28.49,259.39,-28.01,-5.25
11060.57,237.37,-51.92,64.31,28.38,259.32,-27.88,-5.26
11066.56,237.15,-51.98,64.39,28.26,259.26,-27.77,-5.26
11073.04,236.91,-52.05,64.49,28.15,259.22,-27.65,-5.27
11079.69,236.67,-52.11,64.56,28.04,259.18,-27.54,-5.26
11085.97,236.44,-52.16,64.61,27.93,259.15,-27.43,-5.26
11092.95,236.19,-52.21,64.59,27.84,259.14,-27.34,-5.25
11099.57,235.96,-52.26,64.49,27.74,259.13,-27.25,-5.23
11104.78,235.77,-52.31,64.28,27.66,259.14,-27.17,-5.21
11108.80,235.62,-52.35,63.95,27.59,259.15,-27.09,-5.19
11112.50,235.47,-52.38,63.51,27.52,259.18,-27.03,-5.17
11116.84,235.30,-52.43,62.94,27.47,259.21,-26.98,-5.14
11122.62,235.09,-52.48,62.29,27.42,259.25,-26.94,-5.11
11129.93,234.84,-52.53,61.57,27.39,259.30,-26.92,-5.09
11137.98,234.56,-52.57,60.82,27.37,259.36,-26.90,-5.06
11145.24,234.31,-52.59,60.08,27.36,259.42,-26.90,-5.02
11150.57,234.12,-52.61,59.38,27.37,259.49,-26.91,-4.99
11154.13,233.97,-52.63,58.77,27.38,259.56,-26.93,-4.96
11157.18,233.85,-52.66,58.24,27.40,259.64,-26.96,-4.93
11160.97,233.71,-52.70,57.84,27.44,259.71,-27.00,-4.90
11165.84,233.54,-52.75,57.55,27.48,259.79,-27.05,-4.87
11171.07,233.36,-52.80,57.38,27.53,259.87,-27.11,-4.84
11176.16,233.17,-52.84,57.32,27.59,259.95,-27.17,-4.81
11181.39,232.99,-52.89,57.35,27.66,260.03,-27.24,-4.79
11186.35,232.81,-52.93,57.46,27.72,260.11,-27.31,-4.76
11191.23,232.62,-52.97,57.60,27.80,260.19,-27.39,-4.74
11196.77,232.43,-53.00,57.77,27.87,260.27,-27.47,-4.71
11202.76,232.22,-53.04,57.94,27.94,260.34,-27.54,-4.69
11208.23,232.03,-53.08,58.09,28.01,260.41,-27.62,-4.66
11213.03,231.85,-53.12,58.22,28.08,260.48,-27.69,-4.64
11217.68,231.68,-53.17,58.32,28.14,260.55,-27.76,-4.62
11222.09,231.53,-53.22,58.41,28.20,260.61,-27.83,-4.60
11225.65,231.40,-53.26,58.48,28.26,260.67,-27.88,-4.58
11228.75,231.27,-53.29,58.54,28.31,260.73,-27.94,-4.56
11233.11,231.12,-53.32,58.61,28.35,260.78,-27.98,-4.54
11238.10,230.94,-53.36,58.68,28.38,260.83,-28.02,-4.52
11243.26,230.76,-53.40,58.76,28.41,260.87,-28.05,-4.51
11248.61,230.57,-53.45,58.85,28.43,260.91,-28.07,-4.49
11253.93,230.38,-53.48,58.95,28.44,260.94,-28.08,-4.48
11259.15,230.19,-53.52,59.05,28.44,260.97,-28.09,-4.46
11264.38,230.01,-53.56,59.14,28.44,261.00,-28.09,-4.45
11269.28,229.83,-53.60,59.21,28.43,261.02,-28.09,-4.44
11274.48,229.65,-53.64,59.25,28.42,261.03,-28.07,-4.43
11279.65,229.47,-53.68,59.25,28.40,261.04,-28.06,-4.42
11284.01,229.32,-53.72,59.23,28.38,261.04,-28.03,-4.42
11287.31,229.21,-53.77,59.18,28.36,261.04,-28.01,-4.42
11289.15,229.14,-53.81,59.11,28.33,261.03,-27.98,-4.42
11289.71,229.09,-53.85,59.04,28.30,261.01,-27.95,-4.42
11292.04,229.00,-53.88,58.97,28.26,260.99,-27.91,-4.43
11296.50,228.85,-53.91,58.92,28.23,260.96,-27.88,-4.44
11301.84,228.68,-53.94,58.87,28.19,260.93,-27.84,-4.45
11306.41,228.52,-53.97,58.85,28.15,260.89,-27.80,-4.46
11310.25,228.37,-54.01,58.84,28.12,260.84,-27.76,-4.48
11314.30,228.22,-54.06,58.84,28.08,260.79,-27.72,-4.49
11319.70,228.03,-54.10,58.85,28.04,260.73,-27.67,-4.51
11325.79,227.82,-54.12,58.87,28.00,260.67,-27.63,-4.54
11332.35,227.59,-54.15,58.88,27.96,260.61,-27.59,-4.56
11339.19,227.35,-54.17,58.91,27.92,260.53,-27.54,-4.59
11345.77,227.13,-54.19,58.94,27.89,260.46,-27.50,-4.62
11351.39,226.93,-54.21,58.98,27.85,260.38,-27.45,-4.65
11355.73,226.77,-54.23,59.03,27.81,260.30,-27.41,-4.69
11359.66,226.62,-54.27,59.09,27.77,260.21,-27.36,-4.72
11363.93,226.47,-54.31,59.15,27.73,260.13,-27.32,-4.76
11368.87,226.30,-54.36,59.25,27.69,260.04,-27.28,-4.79
11374.36,226.10,-54.41,59.34,27.66,259.95,-27.23,-4.83
11380.16,225.90,-54.45,59.44,27.62,259.86,-27.19,-4.86
11386.18,225.69,-54.48,59.55,27.59,259.78,-27.16,-4.90
11392.48,225.47,-54.51,59.66,27.57,259.69,-27.12,-4.93
11398.69,225.26,-54.53,59.77,27.54,259.61,-27.09,-4.97
11404.22,225.06,-54.56,59.88,27.52,259.53,-27.07,-5.00
11409.62,224.87,-54.61,59.99,27.51,259.46,-27.05,-5.03
11414.88,224.68,-54.66,60.07,27.50,259.39,-27.03,-5.06
11420.49,224.49,-54.71,60.14,27.50,259.33,-27.02,-5.09
11425.64,224.32,-54.75,60.19,27.50,259.28,-27.02,-5.12
11429.97,224.14,-54.79,60.21,27.52,259.24,-27.03,-5.14
11435.30,223.93,-54.82,60.21,27.53,259.20,-27.05,-5.16
11444.34,223.64,-54.86,60.18,27.56,259.17,-27.07,-5.18
11454.31,223.31,-54.92,60.13,27.59,259.15,-27.10,-5.19
11463.67,222.99,-55.00,60.04,27.63,259.14,-27.14,-5.21
11472.28,222.69,-55.08,59.93,27.68,259.14,-27.18,-5.22
11479.83,222.44,-55.16,59.79,27.73,259.14,-27.24,-5.23
11485.80,222.22,-55.21,59.63,27.79,259.15,-27.29,-5.23
11490.83,222.06,-55.24,59.44,27.85,259.16,-27.36,-5.24
11494.02,221.93,-55.27,59.23,27.92,259.17,-27.42,-5.24
11496.62,221.85,-55.31,59.01,27.99,259.19,-27.49,-5.25
11498.11,221.78,-55.35,58.80,28.05,259.21,-27.56,-5.25
11499.52,221.69,-55.40,58.59,28.12,259.23,-27.63,-5.25
11504.94,221.46,-55.45,58.40,28.19,259.25,-27.69,-5.26
11518.92,221.06,-55.48,58.24,28.25,259.26,-27.75,-5.26
11532.79,220.63,-55.49,58.11,28.31,259.27,-27.81,-5.27
11542.52,220.30,-55.50,58.01,28.36,259.28,-27.87,-5.27
11547.72,220.10,-55.52,57.94,28.41,259.29,-27.91,-5.28
11550.02,219.99,-55.55,57.88,28.45,259.29,-27.95,-5.29
11552.41,219.88,-55.58,57.84,28.48,259.28,-27.98,-5.30
11557.48,219.72,-55.62,57.80,28.51,259.28,-28.01,-5.30
11563.33,219.53,-55.66,57.76,28.52,259.27,-28.03,-5.31
11569.12,219.34,-55.70,57.70,28.53,259.26,-28.03,-5.32
11574.68,219.15,-55.75,57.64,28.54,259.25,-28.04,-5.32
11579.32,218.99,-55.82,57.56,28.53,259.24,-28.03,-5.33
11583.43,218.83,-55.88,57.47,28.52,259.24,-28.02,-5.32
11588.61,218.65,-55.93,57.39,28.51,259.25,-28.01,-5.32
11594.70,218.46,-55.97,57.31,28.49,259.26,-27.99,-5.31
11600.53,218.26,-56.01,57.25,28.47,259.28,-27.97,-5.29
11605.87,218.08,-56.05,57.20,28.45,259.32,-27.96,-5.27
11610.86,217.90,-56.10,57.19,28.43,259.37,-27.94,-5.24
11615.94,217.73,-56.15,57.21,28.41,259.44,-27.93,-5.20
11620.89,217.56,-56.22,57.24,28.39,259.53,-27.92,-5.16
11625.66,217.39,-56.29,57.30,28.38,259.63,-27.91,-5.11
11630.97,217.21,-56.35,57.37,28.37,259.75,-27.92,-5.05
11636.84,217.01,-56.40,57.43,28.37,259.89,-27.93,-4.98
11642.92,216.81,-56.44,57.48,28.37,260.05,-27.94,-4.90
11648.40,216.63,-56.48,57.50,28.38,260.22,-27.97,-4.82
11652.93,216.46,-56.52,57.51,28.40,260.41,-28.00,-4.73
11657.70,216.29,-56.57,57.48,28.42,260.60,-28.04,-4.64
11663.59,216.09,-56.62,57.43,28.46,260.81,-28.09,-4.55
11670.80,215.85,-56.69,57.37,28.50,261.02,-28.15,-4.45
11679.26,215.57,-56.77,57.29,28.55,261.23,-28.21,-4.36
11687.46,215.30,-56.85,57.22,28.60,261.43,-28.28,-4.26
11695.36,215.03,-56.92,57.15,28.66,261.63,-28.36,-4.17
11702.39,214.80,-56.98,57.09,28.72,261.82,-28.43,-4.08
11708.01,214.61,-57.03,57.05,28.79,262.00,-28.51,-4.01
11712.02,214.48,-57.08,57.01,28.86,262.16,-28.59,-3.94
11714.66,214.37,-57.12,56.98,28.93,262.30,-28.67,-3.87
11717.15,214.27,-57.16,56.96,29.00,262.42,-28.74,-3.82
11721.66,214.12,-57.21,56.94,29.06,262.52,-28.82,-3.79
11728.01,213.91,-57.25,56.93,29.13,262.58,-28.89,-3.76
11735.02,213.68,-57.31,56.93,29.19,262.63,-28.95,-3.75
11742.29,213.44,-57.38,56.93,29.26,262.64,-29.01,-3.75
11749.31,213.22,-57.45,56.93,29.31,262.63,-29.07,-3.76
11754.84,213.03,-57.50,56.93,29.37,262.60,-29.12,-3.78
11758.74,212.89,-57.54,56.92,29.42,262.54,-29.17,-3.82
11762.61,212.75,-57.57,56.91,29.47,262.45,-29.21,-3.87
11767.08,212.60,-57.61,56.88,29.51,262.35,-29.25,-3.93
11771.58,212.46,-57.66,56.84,29.56,262.22,-29.29,-4.00
11775.71,212.32,-57.70,56.78,29.61,262.09,-29.32,-4.08
11779.18,212.20,-57.74,56.70,29.65,261.94,-29.36,-4.16
11782.53,212.07,-57.79,56.61,29.70,261.78,-29.40,-4.25
11787.41,211.90,-57.84,56.51,29.75,261.61,-29.44,-4.34
11794.12,211.69,-57.90,56.40,29.81,261.44,-29.48,-4.44
11801.29,211.47,-57.96,56.28,29.87,261.28,-29.53,-4.53
11807.59,211.26,-58.01,56.16,29.94,261.12,-29.58,-4.62
11812.40,211.10,-58.05,56.03,30.02,260.97,-29.64,-4.71
11816.10,210.96,-58.10,55.90,30.10,260.82,-29.71,-4.80
11820.42,210.80,-58.15,55.76,30.19,260.69,-29.80,-4.88
11826.32,210.61,-58.22,55.63,30.30,260.58,-29.89,-4.96
11833.15,210.39,-58.28,55.49,30.41,260.48,-29.99,-5.03
11839.86,210.17,-58.34,55.35,30.53,260.39,-30.10,-5.09
11846.79,209.94,-58.39,55.21,30.66,260.33,-30.22,-5.15
11853.88,209.71,-58.45,55.06,30.80,260.29,-30.36,-5.20
11860.17,209.50,-58.51,54.92,30.95,260.27,-30.50,-5.23
11865.93,209.31,-58.56,54.77,31.10,260.26,-30.65,-5.26
11870.98,209.15,-58.59,54.61,31.26,260.28,-30.82,-5.28
11874.60,209.02,-58.61,54.45,31.43,260.31,-30.98,-5.29
11877.68,208.90,-58.64,54.29,31.60,260.36,-31.16,-5.29
11882.20,208.74,-58.69,54.13,31.78,260.43,-31.34,-5.28
11888.27,208.54,-58.77,53.98,31.96,260.52,-31.52,-5.27
11895.97,208.31,-58.86,53.86,32.13,260.61,-31.70,-5.24
11903.21,208.08,-58.93,53.76,32.31,260.72,-31.88,-5.21
11908.72,207.89,-58.99,53.69,32.48,260.85,-32.06,-5.17
11913.19,207.73,-59.05,53.67,32.64,260.98,-32.24,-5.12
11917.89,207.59,-59.10,53.70,32.80,261.12,-32.41,-5.06
11922.08,207.45,-59.14,53.78,32.96,261.27,-32.58,-5.00
11925.77,207.33,-59.18,53.91,33.10,261.43,-32.73,-4.93
11928.77,207.22,-59.22,54.08,33.23,261.59,-32.88,-4.86
11931.38,207.12,-59.26,54.28,33.35,261.76,-33.01,-4.78
11935.10,206.99,-59.31,54.49,33.46,261.93,-33.13,-4.70
11940.62,206.81,-59.37,54.70,33.56,262.11,-33.24,-4.61
11947.59,206.59,-59.43,54.89,33.64,262.28,-33.34,-4.52
11955.65,206.34,-59.49,55.05,33.71,262.46,-33.42,-4.42
11963.24,206.11,-59.54,55.18,33.77,262.64,-33.49,-4.33
11968.83,205.91,-59.58,55.26,33.81,262.82,-33.54,-4.23
11973.22,205.75,-59.63,55.30,33.84,262.99,-33.58,-4.13
11978.05,205.59,-59.68,55.31,33.85,263.17,-33.61,-4.03
11983.52,205.42,-59.73,55.30,33.85,263.34,-33.62,-3.92
11988.67,205.26,-59.78,55.29,33.84,263.51,-33.63,-3.82
11993.07,205.11,-59.82,55.29,33.82,263.68,-33.61,-3.72
11997.28,204.97,-59.86,55.29,33.79,263.85,-33.59,-3.62
12001.72,204.83,-59.89,55.31,33.75,264.01,-33.56,-3.52
12005.70,204.70,-59.91,55.34,33.70,264.16,-33.52,-3.43
12009.20,204.58,-59.91,55.38,33.64,264.31,-33.48,-3.33
12012.58,204.47,-59.91,55.43,33.58,264.46,-33.42,-3.24
12016.19,204.35,-59.88,55.46,33.51,264.60,-33.37,-3.15
12019.85,204.23,-59.85,55.47,33.44,264.74,-33.30,-3.07
12023.39,204.12,-59.82,55.47,33.37,264.87,-33.24,-2.98
12026.93,204.00,-59.79,55.43,33.30,264.99,-33.17,-2.91
12030.40,203.89,-59.76,55.37,33.22,265.12,-33.10,-2.83
12033.96,203.76,-59.74,55.29,33.14,265.23,-33.03,-2.75
12038.57,203.61,-59.70,55.19,33.07,265.34,-32.96,-2.68
12044.57,203.43,-59.66,55.08,32.99,265.45,-32.89,-2.62
12050.52,203.25,-59.61,54.95,32.91,265.56,-32.81,-2.55
12055.34,203.09,-59.55,54.82,32.84,265.66,-32.75,-2.49
12059.12,202.97,-59.49,54.68,32.77,265.75,-32.68,-2.43
12061.92,202.87,-59.41,54.53,32.69,265.85,-32.61,-2.37
12064.44,202.78,-59.34,54.37,32.62,265.94,-32.54,-2.31
12067.89,202.67,-59.29,54.20,32.55,266.03,-32.47,-2.26
12071.89,202.54,-59.26,54.03,32.48,266.11,-32.41,-2.20
12076.05,202.41,-59.26,53.86,32.41,266.20,-32.34,-2.15
12080.11,202.27,-59.27,53.70,32.34,266.28,-32.27,-2.10
12084.71,202.12,-59.30,53.56,32.27,266.36,-32.20,-2.05
12090.13,201.96,-59.33,53.47,32.20,266.44,-32.13,-2.00
12095.38,201.80,-59.37,53.54,32.12,266.51,-32.06,-1.95
12099.08,201.68,-59.42,53.57,32.05,266.58,-31.99,-1.91
12101.88,201.58,-59.45,53.65,31.97,266.66,-31.91,-1.86
12104.41,201.51,-59.48,53.78,31.89,266.73,-31.84,-1.82
12105.74,201.46,-59.49,53.96,31.81,266.80,-31.76,-1.78
12105.90,201.44,-59.51,54.18,31.72,266.87,-31.67,-1.73
12106.89,201.38,-59.52,54.42,31.63,266.94,-31.59,-1.69
12111.73,201.25,-59.54,54.67,31.54,267.01,-31.50,-1.65
12117.93,201.06,-59.54,54.91,31.45,267.07,-31.41,-1.61
12124.12,200.86,-59.54,55.13,31.36,267.14,-31.32,-1.56
12130.41,200.66,-59.53,55.31,31.26,267.22,-31.22,-1.52
12136.87,200.46,-59.52,55.45,31.16,267.29,-31.13,-1.47
12142.53,200.29,-59.53,55.53,31.06,267.36,-31.03,-1.43
12147.16,200.13,-59.54,55.55,30.96,267.44,-30.93,-1.38
12151.64,199.99,-59.56,55.51,30.86,267.52,-30.83,-1.34
12155.94,199.84,-59.59,55.40,30.76,267.60,-30.73,-1.29
12160.64,199.70,-59.60,55.22,30.66,267.69,-30.63,-1.24
12165.33,199.56,-59.61,54.98,30.56,267.78,-30.53,-1.18
12169.18,199.43,-59.61,54.67,30.46,267.88,-30.43,-1.13
12172.53,199.32,-59.59,54.31,30.36,267.97,-30.34,-1.07
12175.59,199.23,-59.56,53.90,30.26,268.08,-30.24,-1.02
12178.16,199.14,-59.52,53.44,30.16,268.18,-30.15,-0.96
12180.87,199.07,-59.48,52.95,30.07,268.29,-30.06,-0.90
12181.52,199.04,-59.44,52.43,29.98,268.40,-29.97,-0.84
12181.32,199.00,-59.40,51.89,29.89,268.51,-29.88,-0.77
12185.37,198.89,-59.37,51.34,29.81,268.63,-29.80,-0.71
12191.72,198.71,-59.34,50.78,29.73,268.74,-29.72,-0.65
12197.62,198.53,-59.34,50.23,29.65,268.86,-29.64,-0.59
12202.92,198.36,-59.34,49.68,29.57,268.97,-29.56,-0.53
12208.21,198.19,-59.36,49.15,29.50,269.08,-29.49,-0.47
12213.30,198.03,-59.39,48.63,29.42,269.19,-29.42,-0.42
12217.73,197.89,-59.42,48.14,29.35,269.29,-29.35,-0.36
12221.93,197.75,-59.45,47.67,29.28,269.39,-29.28,-0.31
12226.35,197.61,-59.48,47.23,29.22,269.48,-29.22,-0.26
12231.31,197.46,-59.51,46.82,29.15,269.57,-29.15,-0.22
12236.69,197.29,-59.51,46.43,29.09,269.66,-29.09,-0.17
12242.24,197.12,-59.51,46.07,29.02,269.74,-29.02,-0.13
12247.29,196.96,-59.48,45.74,28.96,269.81,-28.96,-0.10
12251.98,196.82,-59.45,45.43,28.90,269.87,-28.90,-0.06
12256.18,196.68,-59.43,45.15,28.83,269.93,-28.83,-0.03
12260.29,196.55,-59.42,44.89,28.77,269.99,-28.77,-0.01
12264.77,196.40,-59.42,44.65,28.70,-89.97,-28.70, 0.02
12269.91,196.25,-59.44,44.42,28.63,-89.93,-28.63, 0.04
12275.18,196.09,-59.45,44.20,28.57,-89.89,-28.57, 0.06
12280.42,195.92,-59.47,43.99,28.50,-89.86,-28.50, 0.07
12285.53,195.77,-59.48,43.78,28.43,-89.83,-28.43, 0.08
12289.71,195.64,-59.50,43.57,28.36,-89.81,-28.36, 0.09
12293.36,195.52,-59.52,43.34,28.28,-89.79,-28.28, 0.10
12297.01,195.40,-59.54,43.11,28.21,-89.78,-28.21, 0.11
12300.75,195.29,-59.57,42.85,28.13,-89.77,-28.13, 0.11
12304.62,195.17,-59.59,42.58,28.05,-89.77,-28.05, 0.11
12308.69,195.04,-59.60,42.29,27.97,-89.77,-27.97, 0.11
12312.83,194.91,-59.61,41.99,27.89,-89.78,-27.89, 0.11
12317.61,194.76,-59.60,41.68,27.81,-89.79,-27.81, 0.10
12322.56,194.62,-59.60,41.36,27.73,-89.81,-27.73, 0.09
12326.78,194.49,-59.60,41.04,27.64,-89.84,-27.64, 0.08
12329.80,194.38,-59.59,40.73,27.55,-89.88,-27.55, 0.06
12333.00,194.28,-59.59,40.43,27.47,-89.93,-27.47, 0.03
12337.04,194.15,-59.58,40.15,27.38,-89.99,-27.38, 0.01
12341.75,194.01,-59.56,39.88,27.29,269.95,-27.29,-0.03
12346.43,193.87,-59.54,39.64,27.19,269.87,-27.19,-0.06
12350.71,193.74,-59.52,39.43,27.10,269.77,-27.10,-0.11
12354.61,193.62,-59.49,39.23,27.01,269.67,-27.01,-0.16
12358.68,193.49,-59.47,39.07,26.91,269.55,-26.91,-0.21
12362.58,193.38,-59.44,38.93,26.82,269.42,-26.82,-0.27
12365.97,193.27,-59.42,38.82,26.72,269.27,-26.72,-0.34
12369.06,193.16,-59.41,38.74,26.63,269.11,-26.63,-0.41
12372.95,193.04,-59.42,38.69,26.54,268.93,-26.53,-0.49
12377.85,192.90,-59.43,38.67,26.44,268.75,-26.44,-0.58
12383.11,192.74,-59.44,38.68,26.35,268.54,-26.34,-0.67
12388.10,192.59,-59.46,38.71,26.26,268.33,-26.25,-0.77
12392.91,192.44,-59.48,38.76,26.17,268.10,-26.15,-0.87
12397.54,192.30,-59.49,38.84,26.08,267.86,-26.06,-0.97
12402.12,192.16,-59.51,38.93,25.99,267.61,-25.97,-1.08
12406.43,192.02,-59.52,39.03,25.91,267.36,-25.88,-1.19
12410.91,191.88,-59.53,39.14,25.83,267.10,-25.80,-1.31
12416.04,191.72,-59.55,39.24,25.75,266.83,-25.71,-1.43
12422.29,191.54,-59.57,39.33,25.68,266.55,-25.63,-1.54
12428.55,191.36,-59.59,39.41,25.61,266.27,-25.55,-1.66
12433.19,191.22,-59.60,39.46,25.54,265.99,-25.48,-1.78
12436.17,191.11,-59.62,39.40,25.48,265.71,-25.41,-1.90
12439.40,191.01,-59.65,39.37,25.42,265.43,-25.34,-2.02
12443.97,190.87,-59.68,39.31,25.36,265.15,-25.27,-2.14
12449.49,190.71,-59.71,39.20,25.31,264.88,-25.21,-2.26
12455.52,190.53,-59.74,39.04,25.26,264.60,-25.15,-2.38
12461.42,190.36,-59.74,38.83,25.22,264.32,-25.10,-2.49
12466.05,190.22,-59.74,38.58,25.18,264.05,-25.04,-2.61
12468.70,190.13,-59.73,38.27,25.14,263.78,-24.99,-2.72
12471.30,190.05,-59.73,37.91,25.11,263.51,-24.95,-2.84
12473.38,189.98,-59.74,37.49,25.08,263.24,-24.90,-2.95
12475.61,189.90,-59.75,37.02,25.05,262.97,-24.86,-3.06
12479.27,189.79,-59.76,36.48,25.02,262.70,-24.82,-3.18
12484.78,189.64,-59.75,35.89,25.00,262.43,-24.78,-3.29
12490.08,189.48,-59.71,35.24,24.97,262.16,-24.74,-3.41
12495.07,189.33,-59.65,34.52,24.95,261.88,-24.70,-3.52
12499.84,189.18,-59.57,33.74,24.93,261.60,-24.66,-3.64
12504.55,189.04,-59.47,32.91,24.91,261.32,-24.63,-3.76
12508.94,188.91,-59.37,32.01,24.90,261.02,-24.59,-3.88
12513.83,188.76,-59.25,31.07,24.88,260.73,-24.55,-4.01
12518.94,188.61,-59.12,30.09,24.86,260.42,-24.52,-4.14
12524.00,188.46,-59.00,29.08,24.85,260.12,-24.48,-4.27
12528.87,188.31,-58.91,28.04,24.84,259.80,-24.45,-4.40
12534.04,188.17,-58.84,27.00,24.83,259.48,-24.41,-4.53
12538.20,188.03,-58.77,25.95,24.81,259.16,-24.37,-4.67
12542.53,187.90,-58.70,24.92,24.80,258.83,-24.34,-4.80
12547.20,187.77,-58.60,23.90,24.80,258.51,-24.30,-4.94
12551.43,187.66,-58.49,22.91,24.79,258.18,-24.26,-5.08
12553.26,187.58,-58.38,21.95,24.78,257.86,-24.23,-5.21
12555.43,187.50,-58.29,21.02,24.77,257.54,-24.19,-5.35
12560.37,187.36,-58.22,20.12,24.77,257.22,-24.16,-5.48
12566.11,187.21,-58.18,19.26,24.76,256.92,-24.12,-5.61
12571.11,187.04,-58.14,18.43,24.76,256.62,-24.09,-5.73
12577.35,186.87,-58.09,17.64,24.76,256.34,-24.06,-5.85
12584.10,186.68,-58.01,16.88,24.76,256.07,-24.03,-5.96
12589.19,186.53,-57.89,16.17,24.75,255.82,-24.00,-6.06
12593.65,186.40,-57.74,15.49,24.75,255.59,-23.97,-6.16
12596.53,186.32,-57.59,14.86,24.75,255.37,-23.95,-6.25
12596.87,186.29,-57.46,14.27,24.74,255.18,-23.92,-6.33
12597.27,186.27,-57.37,13.73,24.74,255.01,-23.90,-6.40
12598.70,186.24,-57.30,13.25,24.74,254.86,-23.88,-6.46
12600.16,186.20,-57.24,12.82,24.73,254.74,-23.86,-6.51
12601.19,186.15,-57.17,12.46,24.73,254.64,-23.84,-6.55
12603.93,186.07,-57.09,12.17,24.72,254.56,-23.83,-6.58
12608.64,185.94,-57.00,11.94,24.71,254.50,-23.81,-6.60
12614.44,185.77,-56.93,11.77,24.70,254.46,-23.80,-6.62
12621.01,185.58,-56.86,11.67,24.69,254.45,-23.79,-6.62
12628.15,185.39,-56.79,11.63,24.68,254.45,-23.78,-6.62
12633.81,185.22,-56.71,11.64,24.67,254.46,-23.77,-6.61
12638.20,185.09,-56.62,11.69,24.66,254.49,-23.77,-6.59
12641.38,184.99,-56.51,11.78,24.65,254.53,-23.76,-6.57
12644.37,184.91,-56.38,11.88,24.65,254.59,-23.76,-6.55
12647.11,184.82,-56.26,11.99,24.64,254.65,-23.76,-6.52
12650.29,184.72,-56.16,12.10,24.63,254.71,-23.76,-6.50
12654.35,184.60,-56.07,12.18,24.63,254.78,-23.76,-6.47
12659.54,184.46,-56.01,12.24,24.62,254.85,-23.77,-6.44
12665.44,184.30,-55.97,12.25,24.62,254.91,-23.78,-6.41
12670.63,184.15,-55.94,12.20,24.63,254.98,-23.78,-6.38
12675.47,184.01,-55.90,12.10,24.63,255.04,-23.80,-6.36
12679.45,183.90,-55.85,11.93,24.64,255.09,-23.81,-6.34
12682.90,183.80,-55.80,11.70,24.65,255.13,-23.83,-6.33
12685.69,183.72,-55.74,11.41,24.67,255.17,-23.84,-6.32
12687.56,183.66,-55.70,11.05,24.68,255.19,-23.86,-6.31
12689.37,183.59,-55.66,10.65,24.70,255.20,-23.88,-6.31
12692.82,183.51,-55.62,10.20,24.73,255.21,-23.91,-6.31
12695.30,183.43,-55.58, 9.73,24.75,255.20,-23.93,-6.32
12698.22,183.35,-55.54, 9.23,24.78,255.18,-23.96,-6.34
12701.51,183.25,-55.51, 8.73,24.81,255.15,-23.98,-6.36
12705.37,183.13,-55.48, 8.24,24.85,255.11,-24.01,-6.39
12710.53,183.00,-55.44, 7.75,24.88,255.06,-24.04,-6.41
12715.29,182.88,-55.40, 7.29,24.92,255.00,-24.07,-6.45
12717.10,182.81,-55.34, 6.85,24.95,254.94,-24.09,-6.48
12719.51,182.73,-55.29, 6.45,24.99,254.87,-24.12,-6.52
12723.59,182.63,-55.25, 6.08,25.02,254.79,-24.14,-6.56
12727.28,182.52,-55.21, 5.74,25.05,254.71,-24.17,-6.60
